INFO 2024-08-12 11:29:08,567 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-12 11:29:08,749 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\inspect.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,750 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1706593859.608292
DEBUG 2024-08-12 11:29:08,750 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\wsgiref\handlers.py first seen with mtime 1666616650.0
DEBUG 2024-08-12 11:29:08,750 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\decimal.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,751 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1706593859.5259533
DEBUG 2024-08-12 11:29:08,751 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1706593859.598291
DEBUG 2024-08-12 11:29:08,751 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\ctypes\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,752 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\weakref.py first seen with mtime 1666616650.0
DEBUG 2024-08-12 11:29:08,752 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1706593859.4695458
DEBUG 2024-08-12 11:29:08,752 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1706593859.3495884
DEBUG 2024-08-12 11:29:08,752 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,753 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1706593859.489141
DEBUG 2024-08-12 11:29:08,753 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1706593858.5888987
DEBUG 2024-08-12 11:29:08,753 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\urllib\parse.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,753 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1706593858.5070317
DEBUG 2024-08-12 11:29:08,753 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1706593859.6052907
DEBUG 2024-08-12 11:29:08,754 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\cache.py first seen with mtime 1706593859.5992906
DEBUG 2024-08-12 11:29:08,754 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\DLLs\_queue.pyd first seen with mtime 1666616686.0
DEBUG 2024-08-12 11:29:08,754 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\http\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,754 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\MySQLdb\constants\__init__.py first seen with mtime 1722918864.7948456
DEBUG 2024-08-12 11:29:08,755 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\tokenize.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,755 autoreload File D:\django synclab\synclab\myapp\apps.py first seen with mtime 1722762399.0938692
DEBUG 2024-08-12 11:29:08,756 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,756 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\template\base.py first seen with mtime 1706593859.5807996
DEBUG 2024-08-12 11:29:08,756 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\difflib.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,756 autoreload File D:\django synclab\synclab\myapp\__init__.py first seen with mtime 1722762399.0904794
DEBUG 2024-08-12 11:29:08,756 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\html.py first seen with mtime 1706593859.6042907
DEBUG 2024-08-12 11:29:08,757 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1706593859.4928465
DEBUG 2024-08-12 11:29:08,757 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1706593859.461113
DEBUG 2024-08-12 11:29:08,758 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1706593859.4953759
DEBUG 2024-08-12 11:29:08,758 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\template\__init__.py first seen with mtime 1706593859.5807996
DEBUG 2024-08-12 11:29:08,759 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\MySQLdb\release.py first seen with mtime 1722918864.790417
DEBUG 2024-08-12 11:29:08,759 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\typing.py first seen with mtime 1666616648.0
